HEXA FEM TOPOLOGY OPTIMIZATION LOG
Start Date: 2025-12-04T12:16:04.413
Config Geometry: Dict{Any, Any}("length_z" => 20, "target_elem_count" => 200000, "shape_notes" => "Shapes define fixed regions (void or solid) that are excluded from optimization.", "sphere3" => Dict{Any, Any}("action" => "remove", "center" => Real[34.29201126098633, 5, 2.426476240158081], "diameter" => 4, "type" => "sphere"), "length_y" => 20, "box2" => Dict{Any, Any}("side" => 4, "action" => "remove", "center" => [45.06150817871094, 8.946874618530273, 1.094521164894104], "type" => "box"), "box1" => Dict{Any, Any}("side" => 2, "action" => "add", "center" => Real[28, 7, -9.611063003540039], "type" => "box"), "length_x" => 60, "sphere2" => Dict{Any, Any}("action" => "add", "center" => [60.381900787353516, -0.06934642046689987, 9.764435768127441], "diameter" => 4, "type" => "sphere"), "sphere1" => Dict{Any, Any}("action" => "remove", "center" => [12.510000228881836, 18.41960906982422, -12.126373291015625], "diameter" => 8, "type" => "sphere"))
====================================================================================================================================================================================
| Iter | Mesh Size | Total El | Active El | Radius | Cutoff | Compliance | Strain Energy | Avg L1 Stress | Vol Frac | Delta Rho | Refine? | Time (s) | Wall Time | VRAM |
|------|-----------|----------|-----------|--------|--------|------------|---------------|---------------|----------|-----------|---------|----------|-----------|------|
|    1 | 122x41x41 |   205082 |    204414 |  0.240 |  0.009 |  1.625e+04 |     8.124e+03 |     4.460e-01 |   0.9988 |    99.82% |      No |     9.85 |  12:16:15 | 1.2G |
|    2 | 122x41x41 |   205082 |    204057 |  0.240 |  0.019 |  2.333e+04 |     1.166e+04 |     3.154e-01 |   0.2319 |    40.93% |      No |     5.91 |  12:16:24 | 1.2G |
|    3 | 122x41x41 |   205082 |    201030 |  0.240 |  0.028 |  2.570e+04 |     1.285e+04 |     2.784e-01 |   0.1630 |    23.77% |      No |     6.01 |  12:16:31 | 1.2G |
|    4 | 122x41x41 |   205082 |    194446 |  0.240 |  0.038 |  2.657e+04 |     1.328e+04 |     2.655e-01 |   0.1426 |    19.11% |      No |     6.52 |  12:16:39 | 1.2G |
|    5 | 122x41x41 |   205082 |    172902 |  0.240 |  0.047 |  2.781e+04 |     1.391e+04 |     2.611e-01 |   0.1323 |    22.33% |      No |     6.46 |  12:16:47 | 1.2G |
|    6 | 122x41x41 |   205082 |    156505 |  0.240 |  0.057 |  2.879e+04 |     1.439e+04 |     2.706e-01 |   0.1287 |    21.71% |      No |     6.58 |  12:16:55 | 1.2G |
|    7 | 122x41x41 |   205082 |    143220 |  0.240 |  0.067 |  2.904e+04 |     1.452e+04 |     2.820e-01 |   0.1321 |    15.73% |      No |     6.43 |  12:17:03 | 1.2G |
|    8 | 122x41x41 |   205082 |    132764 |  0.240 |  0.076 |  2.924e+04 |     1.462e+04 |     2.950e-01 |   0.1369 |    12.55% |      No |     6.41 |  12:17:11 | 1.2G |
|    9 | 122x41x41 |   205082 |    124430 |  0.240 |  0.086 |  2.922e+04 |     1.461e+04 |     3.071e-01 |   0.1428 |    14.10% |      No |     6.32 |  12:17:18 | 1.2G |
|   10 | 148x49x49 |   355348 |    203500 |  0.240 |  0.095 |  2.858e+04 |     1.429e+04 |     2.814e-01 |   0.1483 |   954.20% |     YES |    11.18 |  12:17:31 | 1.2G |
|   11 | 148x49x49 |   355348 |    184770 |  0.240 |  0.104 |  3.012e+04 |     1.506e+04 |     2.780e-01 |   0.1353 |    13.12% |      No |    10.57 |  12:17:44 | 1.2G |
|   12 | 148x49x49 |   355348 |    170551 |  0.240 |  0.114 |  3.099e+04 |     1.550e+04 |     2.840e-01 |   0.1332 |    12.10% |      No |    10.60 |  12:17:57 | 1.2G |
|   13 | 148x49x49 |   355348 |    159376 |  0.240 |  0.123 |  3.133e+04 |     1.566e+04 |     2.924e-01 |   0.1355 |    13.40% |      No |    10.37 |  12:18:10 | 1.2G |
|   14 | 148x49x49 |   355348 |    150179 |  0.240 |  0.133 |  3.151e+04 |     1.576e+04 |     3.015e-01 |   0.1391 |    14.80% |      No |    10.68 |  12:18:23 | 1.2G |
|   15 | 148x49x49 |   355348 |    142357 |  0.240 |  0.142 |  3.163e+04 |     1.581e+04 |     3.107e-01 |   0.1431 |    17.00% |      No |    11.12 |  12:18:37 | 1.2G |
|   16 | 148x49x49 |   355348 |    135560 |  0.240 |  0.152 |  3.170e+04 |     1.585e+04 |     3.197e-01 |   0.1472 |    16.85% |      No |    10.65 |  12:18:50 | 1.2G |
|   17 | 148x49x49 |   355348 |    129822 |  0.240 |  0.162 |  3.173e+04 |     1.586e+04 |     3.279e-01 |   0.1513 |    18.16% |      No |    10.69 |  12:19:03 | 1.2G |
|   18 | 148x49x49 |   355348 |    124493 |  0.240 |  0.171 |  3.178e+04 |     1.589e+04 |     3.354e-01 |   0.1549 |    19.19% |      No |    10.29 |  12:19:16 | 1.2G |
|   19 | 176x59x59 |   612656 |    206747 |  0.240 |  0.181 |  3.199e+04 |     1.600e+04 |     3.105e-01 |   0.1586 |   942.80% |     YES |    18.26 |  12:19:36 | 1.3G |
